stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
38,0.5,20.0,32.818498300155625,,32.80352000007406,32.818498300155625,33.30324760009535,33.30324760009535,33.31941480003297,33.32137789996341,right,20.0,1,1,0.008346999995410442,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
39,0.5,19.5,33.3366881001275,,33.32171809999272,33.3366881001275,33.836075700121,33.836075700121,33.836075700121,33.888082100078464,left,-19.5,1,1,0.04126829979941249,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
40,0.5,19.5,33.903129500104114,,33.88839770015329,33.903129500104114,34.403061100048944,34.403061100048944,34.403061100048944,34.439061500132084,right,19.5,0,0,0.024239599937573075,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
41,0.5,20.0,34.45346920005977,,34.43959860014729,34.45346920005977,34.95308450004086,34.95308450004086,34.95308450004086,35.15490960003808,right,20.0,1,1,None,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
42,0.5,20.0,35.16987310000695,,35.15536949993111,35.16987310000695,35.66976540000178,35.66976540000178,35.66976540000178,35.90518549992703,left,-20.0,1,1,0.22815690003335476,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
43,0.5,20.0,35.9199343000073,,35.905515500111505,35.9199343000073,36.42028390010819,36.42028390010819,36.42028390010819,36.672517500119284,left,-20.0,0,0,None,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
44,0.5,20.0,36.68636279995553,,36.67282780003734,36.68636279995553,37.1864783000201,37.1864783000201,37.1864783000201,37.32225150009617,right,20.0,1,1,0.12449919991195202,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
45,0.5,20.0,37.33601740002632,,37.32254309998825,37.33601740002632,37.83696490013972,37.83696490013972,37.83696490013972,38.12265480007045,left,-20.0,0,0,0.2833843999542296,38.13608780014329,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
46,0.5,20.0,38.13608780014329,,38.123045100132,38.13608780014329,38.63674440002069,38.63674440002069,38.63674440002069,38.92173700011335,left,-20.0,0,0,0.28006800008006394,38.93699710001238,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
47,0.5,20.0,38.93699710001238,,38.922055300092325,38.93699710001238,39.435680200112984,39.435680200112984,39.435680200112984,39.6551159999799,left,-20.0,0,0,0.2027475000359118,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
48,0.5,20.0,39.6697240001522,,39.655423500109464,39.6697240001522,40.169436200056225,40.169436200056225,40.169436200056225,40.35544380010106,left,-20.0,1,1,0.18255900009535253,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
49,0.5,20.0,40.36946790013462,,40.355761900078505,40.36946790013462,40.86945440014824,40.86945440014824,40.86945440014824,41.05505040008575,right,20.0,0,0,0.17508219997398555,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
